predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	0.00011705672	0.005478905
BodyFat	-0.00014996667	0.00539641
BodyWeight	-0.00014027602	0.0053367247
CaloriesBMR	-9.281205e-05	0.0048004207
FoodCaloriesIn	-0.00042278712	0.0076220753
HeartRateIntradayCount	-0.00045331471	0.004551936
HeartRateZoneOutOfRangeCaloriesOut	-0.0006547854	0.005806349
HeartRateZoneOutOfRangeMax	-0.00090155425	0.0047231833
HeartRateZoneOutOfRangeMinutes	-0.0011144883	0.004636955
HeartRateZoneFatBurnCaloriesOut	-0.00061799947	0.006319031
HeartRateZoneFatBurnMax	0.000108664746	0.0066516255
HeartRateZoneFatBurnMinutes	-0.001006593	0.0062166406
HeartRateZoneCardioCaloriesOut	-0.00070572796	0.00480175
HeartRateZoneCardioMax	0.00014390996	0.0057921293
HeartRateZoneCardioMinutes	-0.00128162	0.005283983
HeartRateZonePeakCaloriesOut	-0.00019749791	0.007219764
HeartRateZonePeakMinutes	-0.00044044142	0.007282338
TrackerActivityCalories	-0.0007188831	0.0049420297
TrackerCalories	-0.0004260279	0.005607975
TrackerDistance	-0.0004014375	0.005167349
TrackerElevation	-0.0004327253	0.0039247954
TrackerMinutesFairlyActive	-0.00013889938	0.004300321
TrackerMinutesLightlyActive	-0.00092444447	0.00523264
TrackerMinutesSedentary	0.0001493712	0.0046332157
TrackerMinutesVeryActive	-0.00013463457	0.0051134797
TrackerSteps	-0.001160289	0.0057729734
Water	-0.00043778823	0.0070715053
skipped	-0.0012576876	0.0046462216
Efficiency	-0.0012189446	0.0044744154
SleepLevelDeep	-0.0007050544	0.0045316527
SleepLevelLight	-0.0016668317	0.004652785
SleepLevelRem	-0.00092660694	0.0047630067
SleepLevelWake	-0.00070916157	0.0044086436
MinutesAfterWakeup	-0.0006794931	0.007210841
MinutesAsleep	-0.00038337958	0.004611481
MinutesAwake	-0.0007102008	0.0044631874
MinutesToFallAsleep	-0.00060747983	0.010260744
TimeInBed	0.00012795097	0.0049464907
times_slept	-0.0014968853	0.0059960987
mask_time	0.0	0.0
