predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	3.2118183e-05	0.004443288
BodyFat	-0.00043550774	0.0047395504
BodyWeight	-0.00018966365	0.005036033
CaloriesBMR	-0.00028080537	0.0038983077
FoodCaloriesIn	-0.000570897	0.005621662
HeartRateIntradayCount	-0.00060112117	0.003801261
HeartRateZoneOutOfRangeCaloriesOut	-0.0006774931	0.0047770003
HeartRateZoneOutOfRangeMax	-0.000921005	0.0039622113
HeartRateZoneOutOfRangeMinutes	-0.0009176115	0.003574453
HeartRateZoneFatBurnCaloriesOut	-0.000564933	0.0047068154
HeartRateZoneFatBurnMax	-0.0004017998	0.0060588825
HeartRateZoneFatBurnMinutes	-0.00088302925	0.004740968
HeartRateZoneCardioCaloriesOut	-0.00053929666	0.0032891918
HeartRateZoneCardioMax	-0.00019712727	0.0048048636
HeartRateZoneCardioMinutes	-0.0010261699	0.004092706
HeartRateZonePeakCaloriesOut	-0.00023187291	0.005596645
HeartRateZonePeakMinutes	-0.00042163843	0.0056462176
TrackerActivityCalories	-0.00082531705	0.0038866906
TrackerCalories	-0.00046543186	0.004570116
TrackerDistance	-0.00020801178	0.0043807486
TrackerElevation	-0.00061954046	0.0032296765
TrackerMinutesFairlyActive	-0.00033498608	0.0030283744
TrackerMinutesLightlyActive	-0.00081065716	0.004395382
TrackerMinutesSedentary	-0.0003656119	0.0037910794
TrackerMinutesVeryActive	-0.00039375265	0.0039343475
TrackerSteps	-0.0017622343	0.004982113
Water	-0.0006172456	0.004954488
skipped	-0.0014480087	0.0038334224
Efficiency	-0.0010662188	0.0034757345
SleepLevelDeep	-0.0005322725	0.003640133
SleepLevelLight	-0.0018490492	0.0037733782
SleepLevelRem	-0.0008887404	0.00369159
SleepLevelWake	-0.0009001225	0.0036575252
MinutesAfterWakeup	-0.0005557368	0.0047642263
MinutesAsleep	-0.00030814557	0.0036892025
MinutesAwake	-0.0007936324	0.003766734
MinutesToFallAsleep	-0.00057226553	0.0074415957
TimeInBed	-0.00036855004	0.0039722193
times_slept	-0.003089407	0.0058778576
mask_time	0.0	0.0
