predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	0.00048126534	0.0015054579
BodyFat	0.0004282938	0.0014958056
BodyWeight	0.00034405477	0.0015435029
CaloriesBMR	0.0001107898	0.0011929059
FoodCaloriesIn	0.00040100186	0.0028656467
HeartRateIntradayCount	0.00048210545	0.0011032663
HeartRateZoneOutOfRangeCaloriesOut	0.0006404075	0.0015940547
HeartRateZoneOutOfRangeMax	0.00039629213	0.0011844767
HeartRateZoneOutOfRangeMinutes	0.0003594192	0.0010360357
HeartRateZoneFatBurnCaloriesOut	0.00036280093	0.0012543062
HeartRateZoneFatBurnMax	0.00032518135	0.0012300267
HeartRateZoneFatBurnMinutes	0.00023650684	0.0011813139
HeartRateZoneCardioCaloriesOut	0.00051783095	0.001430547
HeartRateZoneCardioMax	0.0003105369	0.001205039
HeartRateZoneCardioMinutes	0.00050834566	0.0011061477
HeartRateZonePeakCaloriesOut	0.0005806207	0.002225777
HeartRateZonePeakMinutes	0.0006171652	0.0025845433
TrackerActivityCalories	0.00064710475	0.0012739074
TrackerCalories	0.0006503449	0.0015082544
TrackerDistance	0.00052883575	0.001127732
TrackerElevation	0.00045947434	0.00091851084
TrackerMinutesFairlyActive	0.00045271774	0.00092922995
TrackerMinutesLightlyActive	0.00031105606	0.0011142918
TrackerMinutesSedentary	0.00087437895	0.0015291959
TrackerMinutesVeryActive	0.00059639843	0.0010655866
TrackerSteps	0.0005091334	0.0013168718
Water	0.00039159245	0.002104689
skipped	0.00065154216	0.0011102579
Efficiency	0.0007691775	0.0010740885
SleepLevelDeep	0.0006281256	0.0012007806
SleepLevelLight	0.00089627755	0.0014731779
SleepLevelRem	0.0007472792	0.0011112916
SleepLevelWake	0.000895161	0.0012213934
MinutesAfterWakeup	0.00076057814	0.0013378024
MinutesAsleep	0.0007350694	0.0012348667
MinutesAwake	0.00082355516	0.0012091052
MinutesToFallAsleep	0.00050859276	0.0034969763
TimeInBed	0.00058508816	0.0010921821
times_slept	0.0015528667	0.0023994474
mask_time	0.0	0.0
