predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	8.0337835e-05	0.00090698595
BodyFat	9.067302e-05	0.0009905079
BodyWeight	5.8860984e-05	0.00073132303
CaloriesBMR	6.394568e-05	0.0008214806
FoodCaloriesIn	7.64253e-05	0.0014657786
HeartRateIntradayCount	0.00011324639	0.00085814996
HeartRateZoneOutOfRangeCaloriesOut	0.00022289321	0.0010203798
HeartRateZoneOutOfRangeMax	8.8235356e-05	0.00086990267
HeartRateZoneOutOfRangeMinutes	4.3463344e-05	0.0007720697
HeartRateZoneFatBurnCaloriesOut	3.0532603e-05	0.0008169809
HeartRateZoneFatBurnMax	6.298823e-05	0.0009915243
HeartRateZoneFatBurnMinutes	3.4551766e-05	0.00090292364
HeartRateZoneCardioCaloriesOut	6.881205e-05	0.0007199545
HeartRateZoneCardioMax	5.7312194e-05	0.00084615214
HeartRateZoneCardioMinutes	0.00011083847	0.00078296644
HeartRateZonePeakCaloriesOut	0.00012636521	0.001111858
HeartRateZonePeakMinutes	0.0001324277	0.0012165577
TrackerActivityCalories	4.4409576e-06	0.00078129704
TrackerCalories	0.000115305105	0.00081878615
TrackerDistance	-6.822081e-05	0.00088291016
TrackerElevation	0.0001014766	0.000774151
TrackerMinutesFairlyActive	2.1285658e-05	0.0006392089
TrackerMinutesLightlyActive	-4.8383685e-05	0.00085665105
TrackerMinutesSedentary	0.00018120352	0.0008735156
TrackerMinutesVeryActive	8.250843e-05	0.00071090495
TrackerSteps	4.6029716e-05	0.0009219457
Water	9.518217e-05	0.0012563878
skipped	0.00024198598	0.0006882221
Efficiency	0.00011703495	0.0007826132
SleepLevelDeep	8.553613e-05	0.000805185
SleepLevelLight	0.00015875316	0.00073066325
SleepLevelRem	0.00016842071	0.00070678233
SleepLevelWake	0.00018945253	0.0009052276
MinutesAfterWakeup	0.00013511268	0.0008308792
MinutesAsleep	0.000103044484	0.0007744609
MinutesAwake	7.2065945e-05	0.00078116136
MinutesToFallAsleep	6.385684e-05	0.0012105281
TimeInBed	4.3725475e-05	0.00076326163
times_slept	-0.00013758082	0.00096047536
mask_time	0.0	0.0
