predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	0.0008091916	0.0026626317
BodyFat	0.000495681	0.0019453382
BodyWeight	0.0003922219	0.0023387724
CaloriesBMR	0.00025015406	0.0015075087
FoodCaloriesIn	0.00015893402	0.0022687833
HeartRateIntradayCount	0.000947999	0.0070909057
HeartRateZoneOutOfRangeCaloriesOut	-0.00043664445	0.0024598744
HeartRateZoneOutOfRangeMax	0.00019848658	0.0008660975
HeartRateZoneOutOfRangeMinutes	0.00010361761	0.0019301942
HeartRateZoneFatBurnCaloriesOut	-0.00078079547	0.004347804
HeartRateZoneFatBurnMax	0.0008655586	0.004751295
HeartRateZoneFatBurnMinutes	-0.00033789265	0.0023853455
HeartRateZoneCardioCaloriesOut	-0.00059257715	0.0025907324
HeartRateZoneCardioMax	0.0016922676	0.0070723495
HeartRateZoneCardioMinutes	-0.00058876554	0.0030941092
HeartRateZonePeakCaloriesOut	-2.1690601e-05	0.0030819036
HeartRateZonePeakMinutes	0.00015186024	0.0032357436
TrackerActivityCalories	0.00026625954	0.0023249986
TrackerCalories	-0.000610197	0.0022462464
TrackerDistance	-1.6726859e-05	0.0023362325
TrackerElevation	0.00041505476	0.0010043252
TrackerMinutesFairlyActive	1.9216192e-05	0.0009256005
TrackerMinutesLightlyActive	0.00041449253	0.0040149274
TrackerMinutesSedentary	0.0005769097	0.0011243912
TrackerMinutesVeryActive	-9.485556e-05	0.0006952253
TrackerSteps	0.0002744682	0.0026364755
Water	0.0001983085	0.0007636586
skipped	-0.004404412	0.006151699
Efficiency	-0.0005326021	0.0021441155
SleepLevelDeep	0.0006338422	0.002071887
SleepLevelLight	0.00029488222	0.001725656
SleepLevelRem	4.7751895e-05	0.0014934216
SleepLevelWake	-0.0005328889	0.0018395855
MinutesAfterWakeup	5.0729243e-05	0.0042996467
MinutesAsleep	-0.00017227986	0.0014426222
MinutesAwake	0.00014574853	0.00071358634
MinutesToFallAsleep	0.00027957882	0.002329662
TimeInBed	-0.00032843524	0.0011462665
times_slept	-0.0062574293	0.0061533516
mask_time	0.0	0.0
