predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	0.0014757594	0.006861335
BodyFat	0.00021591208	0.0022992669
BodyWeight	0.0010456587	0.002567703
CaloriesBMR	0.00019472897	0.0032517654
FoodCaloriesIn	0.0001458945	0.004918457
HeartRateIntradayCount	-0.00094437	0.0027427913
HeartRateZoneOutOfRangeCaloriesOut	0.0007011025	0.0050789355
HeartRateZoneOutOfRangeMax	0.00048653086	0.0026771901
HeartRateZoneOutOfRangeMinutes	0.0013411222	0.0041871406
HeartRateZoneFatBurnCaloriesOut	-0.00090472633	0.0043854713
HeartRateZoneFatBurnMax	0.00316247	0.0085583525
HeartRateZoneFatBurnMinutes	-0.0021306677	0.0059018177
HeartRateZoneCardioCaloriesOut	-0.0011108572	0.005103783
HeartRateZoneCardioMax	0.0019965689	0.006092546
HeartRateZoneCardioMinutes	-0.00044568858	0.0038676178
HeartRateZonePeakCaloriesOut	0.00011506328	0.0032028342
HeartRateZonePeakMinutes	2.4250565e-05	0.0037836025
TrackerActivityCalories	-1.833911e-05	0.0028404754
TrackerCalories	-0.00015823767	0.003951878
TrackerDistance	0.000863242	0.0067213248
TrackerElevation	0.00032907474	0.0015101876
TrackerMinutesFairlyActive	-0.00021187589	0.002207112
TrackerMinutesLightlyActive	0.0019034973	0.008103492
TrackerMinutesSedentary	0.0012119608	0.002476742
TrackerMinutesVeryActive	0.00013031703	0.002336028
TrackerSteps	0.00059404515	0.006354853
Water	0.00026144512	0.0018951106
skipped	-0.0019847082	0.0029667062
Efficiency	-0.0010166928	0.0023162048
SleepLevelDeep	0.0003186693	0.0034138071
SleepLevelLight	-0.00019111624	0.0015382712
SleepLevelRem	0.00026272997	0.0014886007
SleepLevelWake	-0.00070151343	0.0022602975
MinutesAfterWakeup	-0.00016292815	0.00818152
MinutesAsleep	0.00012748061	0.0023086371
MinutesAwake	0.00063705427	0.0015731223
MinutesToFallAsleep	0.00016867113	0.0026566386
TimeInBed	0.00048078626	0.0019818374
times_slept	-0.006046983	0.0064551206
mask_time	0.0	0.0
