predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	-0.00025061704	0.0021590283
BodyFat	-0.0002142696	0.00095391663
BodyWeight	-0.000102928985	0.0020894844
CaloriesBMR	-0.00039665552	0.0018466746
FoodCaloriesIn	4.9051807e-05	0.0028250597
HeartRateIntradayCount	-0.0007004043	0.0021114226
HeartRateZoneOutOfRangeCaloriesOut	-0.00010816151	0.0007651607
HeartRateZoneOutOfRangeMax	0.00023312452	0.0022818048
HeartRateZoneOutOfRangeMinutes	2.0896452e-06	0.0019075003
HeartRateZoneFatBurnCaloriesOut	-0.0001100612	0.00079836923
HeartRateZoneFatBurnMax	-0.00011177614	0.0034528403
HeartRateZoneFatBurnMinutes	-5.6210465e-05	0.0018953653
HeartRateZoneCardioCaloriesOut	8.826373e-05	0.0010416836
HeartRateZoneCardioMax	-0.00046542793	0.0043089963
HeartRateZoneCardioMinutes	4.7703106e-05	0.0024649347
HeartRateZonePeakCaloriesOut	8.2621904e-05	0.0018670612
HeartRateZonePeakMinutes	0.00014154309	0.0046653417
TrackerActivityCalories	-0.00082821737	0.0033104573
TrackerCalories	-0.00024399887	0.002390842
TrackerDistance	-0.00033029277	0.0014304025
TrackerElevation	-0.00011583626	0.00064761756
TrackerMinutesFairlyActive	-7.586012e-06	0.0012178707
TrackerMinutesLightlyActive	-0.0005970962	0.0024591463
TrackerMinutesSedentary	1.6339043e-05	0.0005562981
TrackerMinutesVeryActive	-0.00018395111	0.002094637
TrackerSteps	-0.0006469799	0.0021448408
Water	0.00022367916	0.0046465066
skipped	0.0021202306	0.0031798533
Efficiency	-0.00035972265	0.0029467663
SleepLevelDeep	0.000185391	0.0015835649
SleepLevelLight	0.0003002388	0.0011720797
SleepLevelRem	0.00015345163	0.0011288498
SleepLevelWake	1.8880153e-05	0.0015743696
MinutesAfterWakeup	-0.00018039656	0.0013272194
MinutesAsleep	3.3191573e-05	0.0026441023
MinutesAwake	-0.00018434595	0.002703483
MinutesToFallAsleep	-0.00020888008	0.003816824
TimeInBed	2.9961531e-05	0.0016528034
times_slept	0.008557465	0.009086603
mask_time	0.0	0.0
