predictor	mean_abs_integrated_gradients	sd_abs_integrated_gradients
BodyBmi	-4.536791e-05	0.00058250065
BodyFat	-0.0002866044	0.00063452224
BodyWeight	2.7157914e-05	0.000755111
CaloriesBMR	0.00013530924	0.0010687707
FoodCaloriesIn	-0.00012859386	0.0007483849
HeartRateIntradayCount	-4.7053996e-05	0.00063249574
HeartRateZoneOutOfRangeCaloriesOut	-0.00022090401	0.000920853
HeartRateZoneOutOfRangeMax	-2.1870668e-05	0.00067863206
HeartRateZoneOutOfRangeMinutes	-8.1838e-05	0.0004383767
HeartRateZoneFatBurnCaloriesOut	-4.6743044e-05	0.00050083996
HeartRateZoneFatBurnMax	0.00016563489	0.0011692808
HeartRateZoneFatBurnMinutes	-0.0005153348	0.0010600253
HeartRateZoneCardioCaloriesOut	-0.00019229636	0.0005259719
HeartRateZoneCardioMax	2.966449e-05	0.0010084265
HeartRateZoneCardioMinutes	-0.00014221373	0.0005360011
HeartRateZonePeakCaloriesOut	-6.5125656e-05	0.00081599125
HeartRateZonePeakMinutes	-0.00018941393	0.0012215036
TrackerActivityCalories	2.0267958e-05	0.0005118808
TrackerCalories	6.1672894e-05	0.0010653227
TrackerDistance	-0.0004812391	0.0015810641
TrackerElevation	-0.00037125644	0.00075911754
TrackerMinutesFairlyActive	4.6774447e-05	0.00085989444
TrackerMinutesLightlyActive	-6.9061214e-05	0.00063113176
TrackerMinutesSedentary	0.00018587045	0.00096714543
TrackerMinutesVeryActive	-0.00019504121	0.0008360207
TrackerSteps	-2.1097827e-05	0.00031244764
Water	-0.00014570814	0.0011823527
skipped	0.0013832906	0.0018451497
Efficiency	5.989163e-05	0.0012465694
SleepLevelDeep	-2.5074118e-05	0.0008186908
SleepLevelLight	-0.00022658963	0.00049242895
SleepLevelRem	-0.00017074602	0.00088906975
SleepLevelWake	-9.985334e-05	0.00037137163
MinutesAfterWakeup	-0.00014151182	0.00047733358
MinutesAsleep	-0.00034526063	0.0006520073
MinutesAwake	2.2576587e-05	0.0006155391
MinutesToFallAsleep	-0.00021192007	0.0009303294
TimeInBed	-0.00026570057	0.00070915447
times_slept	0.003275274	0.0033269518
mask_time	0.0	0.0
