obs_id	RaceAmerican Indian/Alaska Native	RaceAsian	RaceBlack or African American	RacePrefer not to answer	RaceSomething else	RaceWhite	isHispanicYes	isHispanicNA	Relationship_StatusIn a committed relationship but not married	Relationship_StatusMarried	Relationship_StatusPrefer not to answer	Relationship_StatusSingle	Relationship_StatusWidowed	educationBachelor's degree	educationDoctorate degree	educationHigh school graduate or GED	educationLess than a high school diploma	educationMaster's degree	educationSome college credit, no degree	educationTrade/technical/vocational training	employmentPart-time employment	employmentRetired	employmentStudent	employmentUnemployed	sexmale	sexNA	genderMale	genderNon-binary	genderPrefer not to answer	genderTrans female	genderTrans male	sexualityGay or lesbian	sexualityHeterosexual	sexualityPrefer not to answer	sexualitySomething else	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000814155701185944	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0020975780390624	0	0	0	0	0	0	0	0	0	0	0.000858362862862783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622336700074902	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00328301942131587	0	0	0	0	0	0	0	0	0	0	-0.000435310210965945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000299159349476938	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0042475155945322	0	0	0	0	0	0	0	0	0	0	3.63356229292899e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000423261105626449	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127454396326934	0	0	0	0	0	0	0	0	0	0	0.000724111437706625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000725193367798309	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121087019720476	0	0	0	0	0	0	0	0	0	0	0.000757644104457114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000564416450005617	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148060195369129	0	0	0	0	0	0	0	0	0	0	0.00106624626707285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000577517210633994	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362363333522094	0	0	0	0	0	0	0	0	0	0	0.000578892573110469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000798744102240264	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0114525534888068	0	0	0	0	0	0	0	0	0	0	-0.000323693140812174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000173457100429521	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00961945195533371	0	0	0	0	0	0	0	0	0	0	0.000270338234688775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000295232847238087	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00976147347107691	0	0	0	0	0	0	0	0	0	0	0.000353798397360792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000572073229078036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00857970289652086	0	0	0	0	0	0	0	0	0	0	0.000660811621980661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000682237233349312	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115469000921078	0	0	0	0	0	0	0	0	0	0	0.000818510879102982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000463235484476437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00969705910497367	0	0	0	0	0	0	0	0	0	0	0.00102139647826659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000740529557191523	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00643603064065303	0	0	0	0	0	0	0	0	0	0	0.000335465462783356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000676460658892474	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01269459019505	0	0	0	0	0	0	0	0	0	0	0.000857980763155325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000300153798656518	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00811460102894532	0	0	0	0	0	0	0	0	0	0	-0.000274036124493354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000777536918213998	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00877687118795585	0	0	0	0	0	0	0	0	0	0	-0.000860227475208893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000571171474195521	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00963188797830191	0	0	0	0	0	0	0	0	0	0	0.00050973028940271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000729669426780918	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108232216071048	0	0	0	0	0	0	0	0	0	0	0.000602754012284319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000370923314262842	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00881570978478589	0	0	0	0	0	0	0	0	0	0	0.00118346014729221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
