obs_id	RaceAmerican Indian/Alaska Native	RaceAsian	RaceBlack or African American	RaceNative Hawaiian or Other Pacific Islander	RacePrefer not to answer	RaceSomething else	RaceWhite	isHispanicYes	isHispanicNA	Relationship_StatusIn a committed relationship but not married	Relationship_StatusMarried	Relationship_StatusPrefer not to answer	Relationship_StatusSingle	Relationship_StatusWidowed	educationBachelor's degree	educationDoctorate degree	educationHigh school graduate or GED	educationLess than a high school diploma	educationMaster's degree	educationSome college credit, no degree	educationTrade/technical/vocational training	employmentPart-time employment	employmentRetired	employmentStudent	employmentUnemployed	sexmale	sexNA	genderMale	genderNon-binary	genderPrefer not to answer	genderTrans female	genderTrans male	sexualityGay or lesbian	sexualityHeterosexual	sexualityPrefer not to answer	sexualitySomething else	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
1	0	-0.00030458455307764	-6.3243786394912e-05	0	0.00111100200006293	0.0396254152624812	0.0105103834075466	0.00657130929441289	0	0.000534345984334111	-0.0139810664122612	0	-0.00664406546874387	7.42306453841759e-05	0.0033154865089044	0.000856377670777518	-0.00646344720728416	0	0.00210443084279506	-0.00470292759962243	-0.00227837031327393	-0.000553614827444158	0.000800225102642614	0.000113320786379101	-0.00562353029553438	-0.00270814646339398	0	-0.00109485825641866	-0.0016777401330196	0	0	-0.000489568018636435	-9.06218603459186e-05	-0.00807691972141179	-0.000505519605615679	-0.0024754566580264	-0.000785621055872895	-0.00890547128752582	-0.00218488245805681	-0.00210906413815607	0.00148591221672978	0.000496891811589957	-0.000874731722694408	0.000211546019979076	0.00918858386385969	0.00166993187986191	-0.00345861889456833	0.00381302768675488	1.63692342119576e-05	-0.00197707551006086	0.00340175078866497	0.000593192970307914	0.000221372593893936	1.70814886623303e-05	-0.00103241259160946	0.00115574590026455	-0.00207209079004514	-0.000527268930811448	-1.94155495646571e-05	-0.00510348904423826	0.000887188680187311	-0.000137454379963056	-0.00336009704305863	-0.00053384714345539	-0.00544655516399698	-0.00633828413084025	0.000232912143972798	0.0021457639400873	0.00130858793979719	0.000133201968062333	-0.000239373281670808	-0.00278219701488497	-0.00201571111391181	0.00324917410737018	0.000948266008962181	-0.000410321437052783
2	0	-0.00121833821231058	-2.10812621316327e-05	0	0	-0.00165105896927004	-0.00275271946388124	-0.000641103345796368	0	0.000388615261333899	0.00676503213496505	0	0.0120423686620982	0	0.00361689437335026	0.00256913301233254	0.033933097838242	-0.00408939356073405	0.00462974785414914	-0.00371283757864929	-0.000759456771091307	-0.000461345689536791	0.00280078785924917	0.000113320786379101	0.02741471019073	0.00744740277433341	0	0.00270065036583272	-0.00335548026603919	0	0	-0.000244784009318215	-0.000362487441383679	-0.0107692262952157	-0.000337013070410452	-0.000495091331605279	-0.00714367053130884	-0.00868230318440806	-0.0029614511537907	-0.00485030381321997	0.00771064784693307	0.000638585391181108	-0.000597061936592327	0.00046639066705	0.00370082770138334	0.00111671619199398	-0.000997519986921038	-0.00332197404079515	5.74624086486138e-06	-1.92732903752287e-06	-0.00317747087832017	0.000786698942937471	0.00091302221291178	1.83647015219585e-05	-0.00340549666730393	0.00499049017939372	-0.0124921152805831	-0.000812142672077169	1.03250813041957e-05	-0.00653244615995721	0.000606958085730705	0.000199287832436589	-0.0107407535830093	-0.000295316213894873	-0.000519759976081895	0.00094095474570563	-0.000163926095627926	-0.00164456625708563	-0.00119890643326209	-9.36536902887651e-05	-0.000658395481504162	-0.000270016495228305	-0.000748820177219565	0.0036356414047388	-0.00144843211449683	6.45194107648887e-05
3	-0.000529572801020511	-0.00121833821231057	-6.32437863949074e-05	0	0.00111100200006293	-0.000825529484635027	-0.00150148334393522	-0.00048082750934728	0	0.000631499799667585	0.00631402999263407	0	-0.00788982774413332	0	0.00331548650890438	0	-0.00161586180182105	0	0.0033670893484721	0.00841576517827166	-0.00151891354218261	-0.000322941982675763	0.00160045020528524	0.000169981179568651	-0.00421764772165077	0.00812443939018196	0	0.00233569761369316	-0.00503322039905879	0	0	-0.00024478400931822	-9.06218603459186e-05	-0.00874999636486272	0	-0.00198036532642111	-0.00431178067874395	0.0026353763343162	0.00813729550426362	-7.9276061516582e-05	0.00160369734518091	0.000349912482639399	-0.000252887800452221	0.000306606724685937	0.00437303403789184	0.00141708813470603	-0.0022727522760509	0.000409069073555456	1.78826961332775e-05	-0.0005740797892132	-0.000710567428315952	0.0012083383763958	0.000199712459326517	1.87085390875909e-05	-0.00237598841090351	0.00156969773843333	-0.0184782372650776	-0.000768352695547522	5.49161236247977e-05	-0.0041873317767345	0.000935097789623585	0.000469043022121784	-0.0183544112943508	-0.00115011634003212	-0.00427058324450256	-0.00533286967846616	0.00019617230967787	0.00103536222523573	0.000485123846430134	0.000123018112902833	-0.000419957865538889	-9.78800242266385e-05	-0.000359231347787055	0.000356210671928943	0.0005825258697903	-0.000352503728257088
4	-0.000529572801020506	0.0137063048884939	-0.000126487572789806	0	0.00333300600018877	-0.000825529484635018	0.00875865283962218	-0.000480827509347276	0	0.000485769076667364	0.00902004284662008	0	0.0128728768456912	0	0.0045211179666878	0.00342551068311005	0.0355489596400629	-0.00408939356073405	0.00294620317991309	-0.00321779256816269	-0.00379728385545654	0.00202992103396184	0	5.66603931895504e-05	-0.00913823673024337	-0.00293382533534347	-0.00114312418516263	-0.00102186770599076	0	0	0	0	-0.00027186558103777	0.0242307591642353	-0.000337013070410462	0.0227742012538428	0.0169913391153892	0.00459600047965826	-0.00148014121988019	0.00178030818597813	-0.003190053078609	0.00040228889397638	-8.84550846135766e-05	-0.000127208034197463	-0.00301995907539515	-0.00126011171724528	0.00388748598483133	0.00789376499446658	-1.00034940171689e-05	0.000744315906831078	0.00538797138599604	-0.000467748112408568	0.000231897708475421	-1.7305029677922e-05	-0.000882624964240205	-0.000406785242780492	-0.00514412491260521	0.000620199092412769	3.67960247812845e-05	-0.00137518780053636	0.000494730584099189	0.000455621054520345	-0.00562875362948366	-0.000668477216985564	-0.000138610510197095	-0.000397175183442645	9.52199828857664e-05	0.000683928001009549	-0.000744515671724247	6.52609912421276e-05	-5.12163208618438e-05	0.000164425288678059	0.000557439112940613	0.000211488950771693	0.000306785523187391	0.000201809176170427
5	0	0.0137063048884939	-0.000105406310658177	0	0.00111100200006293	-0.00247658845390506	0.00900890006361135	-0.000320551672898184	0	-0.00189449939900276	0.00811803856195809	0	-0.00456779500976139	7.42306453841759e-05	0.0039183022377961	0.00171275534155503	-0.00323172360364209	-0.00408939356073404	-0.0172563329109195	-0.00198018004194627	-0.000759456771091303	-0.000276807413722079	0.00120033765396393	-0.000698811516004455	-0.010544119304127	-0.00225678871949497	0	-0.00087588660513493	-0.0050332203990588	0.00158864796649867	0	0	-0.000271865581037756	-0.00807691972141174	-0.000337013070410452	-0.000495091331605279	0.0103409655261401	0.0030095682648825	-0.00461966103451885	0.00107314623223834	-0.000986457007066533	-0.000715663872072433	-0.00150414502814788	0.000154290863953045	0.00493446372502346	0.000960163287513508	-0.0011279606968902	0.00578630759770564	1.03590587565474e-05	0.00269842692550301	0.014444541439975	-0.00131968090803828	-8.20120134902338e-05	-9.0715582022662e-06	-0.00191895662674376	0.00129009328756392	-0.0205782192719115	-0.000417283089910912	3.51988312424408e-05	-0.0048338524802215	0.000636308717511344	0.0012850055495257	-0.0219940659645066	0.000108772083549355	-0.0014882761697354	-0.00138837220106715	6.31275953861069e-05	-0.00170089890798849	0.000204096872283732	-1.88485234132868e-05	-0.000496018610416686	-0.00158146755183775	-0.00155572698924477	0.00109413352901111	-0.000793832432735693	-5.9575858186033e-05
6	-0.00105914560204103	-0.000913753659232931	-0.000105406310658177	0	0.00222200400012585	-0.000825529484635027	-0.00250247223989203	-0.00048082750934729	0	0.000485769076667387	0.0090200428466201	0	0.0141186391210807	0	0.00452111796668778	0.00428188835388757	-0.00969517081092632	-0.00613409034110106	0.00336708934847208	0.00940585519924481	-0.00151891354218261	-0.000276807413722102	0.000800225102642614	-0.000755471909194005	-0.00913823673024335	0.0076730816462829	-0.000571562092581311	0.00277364091626062	-0.0033554802660392	0	0	0	0	-0.00605768979105882	-0.000337013070410452	-0.00198036532642111	0.0150729621184904	0.00276615932270273	-0.00352996221017329	0.0011888164385961	0.000274508893313148	0.00054235609986418	0.00216073509597665	-0.000229171521631474	-0.00122494144337825	-0.00339985724724493	-0.00216449468127761	0.0108429985730453	6.10833037027747e-06	-0.00114726231289318	0.00691996224579737	0.000896829745694735	1.83528574486623e-05	2.21731543884884e-05	0.00135424555464252	-0.00136319534939561	0.00748828643860283	-0.000277588372237889	-1.65730503213085e-05	0.00474506900734908	-0.00173205404855915	-0.000310037388316327	0.00950784068146702	-0.000307989312532291	0.0112621549007748	0.0103301379549453	-0.000436615841794871	-0.00590234627134457	-0.00290988396654344	-0.000674941210338722	-0.000408084460807881	0.00416583923628998	0.00511685226897518	0.00138866460178142	-0.00403225378828971	0.00113742668845754
7	-0.000529572801020511	-0.00121833821231057	-8.43250485265494e-05	0	0	-0.00412764742317513	-0.00325321391185966	-0.000641103345796372	0	0.000291461446000424	0.0094710449889511	0	0.0145338932128772	7.42306453841712e-05	-0.0117549067133883	0.00171275534155503	-0.00242379270273156	0	0.00252531701135406	-0.003465315073406	-0.00151891354218261	-0.000415211120583112	0.000800225102642618	0.000132207584108951	-0.00632647158247618	0.00767308164628295	0	0.0026276598154048	0	0	-0.00215422313635397	-0.000244784009318215	-9.06218603459232e-05	-0.00874999636486273	0	-0.000990182663210562	0.00781967004450175	0.000767435445447162	-0.00280476513423154	-0.000432641429442197	0.0021738858413762	0.000678891014499412	0.00181462027995681	-0.000151117759478056	-0.00494833509884058	-0.00362133648515963	0.00321518505917576	0.000928405943845287	-1.11650357680256e-05	-0.00182604671097097	0.00216300437408638	0.000430363689186012	0.000184049125579797	2.59832950239384e-05	0.00036627095338237	0.000216257397943453	0.00226221117074267	0.00105946413516463	-2.17475181197903e-05	0.00192967162674837	-0.000683364885695467	-0.000201370739122917	0.00231851706235431	-0.000398427512866858	0.00258251002371936	0.0016778181035977	-0.000260871559529502	-0.00137061600504053	-0.00109841340751	-0.000274679110275354	0.000224772923598432	0.000279263109648625	0.000493434514310424	0.00161180968547597	-0.00119986298838712	-0.000113155513809721
8	0	-0.00121833821231057	-6.32437863949074e-05	0	0	-0.00247658845390507	-0.00325321391185966	-0.000961655018694579	0	0.000340038353667157	-0.0135300642699301	0	-0.0045677950097614	7.42306453841759e-05	-0.0120563145778342	0.00342551068311007	-0.00323172360364209	-0.00204469678036702	0.00210443084279506	-0.00371283757864926	-0.00151891354218261	0.00184538275814716	0.000400112551321307	0.000151094381838801	-0.00632647158247618	-0.00248246759144448	0	-0.000510933852995379	0	0.00158864796649867	0	0	0	-0.00605768979105883	-0.000505519605615679	-0.000990182663210562	-0.0132642066642715	0.0047560154003849	-0.0022831217047077	0.00219992954391589	-0.00400945070555072	0.000561757803719948	-0.00110834006314643	-5.34525229656616e-05	0.000566514216040333	0.00106667844756074	-0.0030829843127106	-0.0064057528240618	1.94654232407628e-05	0.0100492210541082	-0.00339674108871244	-0.00576601209488264	-9.62358182349937e-05	-1.76776071488064e-05	-0.000371761969482307	-0.00101895618748879	-0.0147821286712903	0.000685163798313469	-8.25316051438855e-06	-0.00119526345879154	0.000971479229785924	0.00121126618446522	-0.0173517000132399	-0.000831544271920406	-0.00526678597347732	-0.0060845461414074	0.000139421825360591	0.00475064340259214	0.00100832836107719	0.000449336163352632	-0.000363506267421894	0.000856634583143811	0.00153444395726265	0.000409436907222759	0.00193391800989417	-0.000163102563066499
9	-0.000529572801020511	-0.000609169106155286	-4.21625242632747e-05	0	0	-0.00247658845390507	-0.001251236119946	-0.00048082750934729	0	-0.00165161486066905	0.0103730492736131	0	-0.00705931956054035	0.000148461290768352	-0.0108506831200507	0.00256913301233255	-0.00727137810819472	-0.00204469678036702	0.00210443084279506	-0.00346531507340601	-0.000759456771091312	0.00184538275814716	0.00240067530792785	9.44339886492507e-05	-0.00632647158247617	0.00947851262187894	0	0.00248167871454899	-0.0016777401330196	0	0	-0.00024478400931822	-9.06218603459186e-05	0.0188461460166274	-0.000337013070410452	-0.00148527399481583	0.0105784788686133	0.00362510338309139	-0.000668226359742771	0.000738365678377743	0.00241713617605253	0.000301781643894078	0.00143204772512755	-4.47945163480531e-07	-0.00393649739260094	-0.00130932688947858	-0.00163987535905373	0.00575188045711289	1.39871379656968e-05	-0.000684574560037376	0.00373491639984393	0.000445230870761519	0.000597477482445837	3.20406157459374e-05	0.000476693322650203	0.00052672552662078	0.00107578015548069	0.000957794646711076	-1.39439753667943e-05	0.00211069605499944	-0.000679423644781074	-0.000160245312589532	0.00223510069704982	-0.000572524687945788	0.00281034758683227	0.00281509316182174	0.000119654662192321	-0.000679250544700291	-0.000768603512852503	-0.000133503800984749	-0.000304343719069363	0.000256773951272766	-0.000212590459049246	0.00103481703966469	-0.000431321265961746	0.000449748271612413
10	0	-0.00152292276538821	-8.43250485265355e-05	0	0	-0.00247658845390506	-0.00350346113584888	-0.000641103345796372	0.000805572846930294	0.000194307630666949	0.00902004284662008	-0.00459237891923405	0.0157796554882666	0.000148461290768356	0.00572674942447121	0.000856377670777513	-0.00888723991001575	-0.00204469678036701	0.00336708934847208	0.00915833269400155	-0.00151891354218262	-0.000322941982675753	0.00160045020528524	-0.000774358706923856	-0.00492058900859257	-0.00270814646339398	0	-0.000729905504279107	-0.0050332203990588	0	0	0	-0.000362487441383674	-0.0161538394428235	-0.000168506535205226	-0.00148527399481584	0.014195989777051	0.00299752614905864	-0.00235167975930833	0.00145020168541382	-0.000311115490733043	0.000363983750117837	-0.000743768755708266	3.7594137875463e-05	0.00906193853522869	0.00144188873656852	-0.00432784450334856	0.015790001679458	2.21907413156391e-05	-0.00105393843554353	0.0137257519202815	0.000282804336054376	0.000154210070001784	4.50026322740225e-05	0.000230189044685229	-0.000446770855911646	-0.00815199332797699	-0.000566299732068005	-1.12484216434107e-05	-0.000146923119278664	0.000256954421131074	0.000381146277417472	-0.00653330631727685	-0.000320140068184982	-0.0021402186186307	-0.00169780184989563	0.000180738476672988	0.000654749992906679	0.00117239650846027	9.73221406549106e-05	-0.000392253753836401	0.00184016438599974	0.00275538799095026	0.000321651018344975	0.00140071241450094	-1.33658129281566e-05
