obs_id	RaceAmerican Indian/Alaska Native	RaceAsian	RaceBlack or African American	RaceNative Hawaiian or Other Pacific Islander	RacePrefer not to answer	RaceSomething else	RaceWhite	isHispanicYes	isHispanicNA	Relationship_StatusIn a committed relationship but not married	Relationship_StatusMarried	Relationship_StatusPrefer not to answer	Relationship_StatusSingle	Relationship_StatusWidowed	educationBachelor's degree	educationDoctorate degree	educationHigh school graduate or GED	educationLess than a high school diploma	educationMaster's degree	educationSome college credit, no degree	educationTrade/technical/vocational training	employmentPart-time employment	employmentRetired	employmentStudent	employmentUnemployed	sexmale	sexNA	genderMale	genderNon-binary	genderPrefer not to answer	genderTrans female	genderTrans male	sexualityGay or lesbian	sexualityHeterosexual	sexualityPrefer not to answer	sexualitySomething else	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
1	0.00776383349130967	0	-0.0242388514018236	0	0.0357152625689386	0	0	0	0	0.0488252508909699	0.165695711388063	0	-0.012092805923592	0	0.0294875242598294	0.0153208157543166	0	0	0	-0.0356310438998423	-0.021740273409116	0.0556838142923769	0.0135747518880251	0.0230984239297741	0	0	0	-0.00754001964602182	0	0	0	0	0	0	0	0.00259550942445751	0	-0.363839495314915	-0.0200999281446284	0	0.0655585371046091	0.0022315254267003	0.0784061613148955	0	0.346479071259304	0	-0.262774928899568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0573712138774874	0	-0.112867759044112	0.00275521906105473	0	-0.489238773521868	0	0.111273732769884	0	0.0136714693723542	0	0	0	0.0220390746370123	0	0
2	0.00776383349130968	0	-0.0080796171339412	0	0.0178576312844693	0	0	0	0	0.0732378763364548	-0.0914183235244487	-0.0349757562607026	0.0233218399954988	0	0.0421250346568991	0.0306416315086331	0	0	0	-0.0916226843138802	-0.021740273409116	0.040497319485365	0.0271495037760502	0.0288730299122176	0	0	0	0.0241280628672696	0	0	0	0.0132258144507164	0	0	0	0.00346067923261002	0	-0.338251049806622	-0.0118966452576197	0	0.332506936108102	0.00581505002465813	-0.000376644632070757	0	0.165328564123983	0	-0.0503246861462058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280197488452574	0	-0.501769159936486	0.0023099081843311	0	-0.103011171374105	0	-0.0929135917488878	0	-0.00212364329651064	0	0	0	0.0165602376806359	0	0
3	0	0	-0.020199042834853	0	0.0357152625689386	0	0	0	0	0.0549284072523411	-0.114272904405561	0	-0.0112290340719068	0	0.0252750207941395	0.0306416315086331	0	-0.029535269429501	0	0.203605965141956	-0.010870136704558	0.0202486597426825	0.0135747518880251	0.0230984239297741	0	0	-0.00378317753280473	0.0256360667964739	0	0	0	0.0132258144507164	0	0	0	0.00173033961630501	0	0.0618128561075735	0.0730433820369505	0	0.0385887444719695	0.00785912664983242	0.0318465901617186	0	0.149577382431699	0	-0.0921009087691471	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588712598623684	0	-0.772437152519704	0.0034444265729744	0	-0.324087905492453	0	0.0730750338816681	0	0.0124128308476792	0	0	0	0.00388506479079239	0	0
4	0	0	-0.0161592342678824	0	0.0357152625689386	0	0	0	0	0.079341032697826	-0.0857046783041706	0	0.0224580681438136	0	0.0315937759926743	0.0766040787715827	0	0	0	-0.0814423860567823	-0.0326104101136741	-0.182237937684142	0.0814485113281507	0.0519714538419917	0	0	-0.00378317753280472	-0.0105560275044305	0	0	0	0.0132258144507164	0	0	0	-0.0415281507913203	0	0.204383321396949	-0.0312892629869512	0	-0.204510510893794	0.00170986216780996	-0.00376199334863166	0	-0.137014399869438	0	0.153197958158356	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021360486970296	0	-0.233931457617145	0.00564641691193735	0	0.046794876347342	0	0.0323734667347619	0	0.00804976079193075	0	0	0	0.0394698066009294	0	0
5	0.00776383349130968	0	-0.0323184685357649	0	0.0178576312844693	0	0	0	0	-0.238023098093478	-0.125700194846117	0	-0.0155478933303325	0	0.0252750207941395	0.0306416315086331	0	-0.029535269429501	0	-0.0458113421569401	-0.043480546818232	0.0404973194853649	0.0135747518880251	-0.230984239297741	0	0	0	-0.00377000982301088	0	0	0	0	0	0	0	0.00519101884891504	0	0.0961050378733267	-0.0330201363793589	0	-0.0282125116667655	-0.01781649060268	0.0479982672829834	0	0.149561779594247	0	-0.0989612451529548	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400825499277627	0	-0.947440611765453	0.00250922763245749	0	-0.135063298301701	0	-0.070627898764864	0	0.0020755652089848	0	0	0	0.0425434506517422	0	0
6	0.00776383349130969	0	-0.0121194257009118	0	0	0	0	0	0.0120621895465881	0.079341032697826	-0.0971319687447267	0	0.0285044711056096	0	0.0358062794583642	0.0459624472629497	0	0	0	0.167974921242114	-0.021740273409116	0.0556838142923768	0.0678737594401256	-0.230984239297741	0	0	0	0.0241280628672696	0	0.0187552086717974	0	0	0	0	0	0.00173033961630501	0	0.110409027124766	-0.0489399439242061	0	0.0258109230538077	0.00490687210860552	-0.117601126091677	0	-0.169379822749947	0	-0.093776098522731	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.121264190596734	0	0.401527412112506	0.00113463693250223	0	0.78376334080484	0	-0.322302924756791	0	-0.0558574238822903	0	0	0	0.00794520027097802	0	0
7	0.023291500473929	0	-0.0080796171339412	0	0	0	0	0	0	0.0854441890591973	-0.0857046783041706	-0.0349757562607025	0.0224580681438136	0	-0.0737188106495735	0.0153208157543165	0	-0.0147676347147505	0	-0.0254507456427445	0	0.0253108246783531	0.0542990075521005	0.0346476358946611	0	0	0	0.0316680825132912	0	0	0	0.0132258144507164	0	0	0	0.000865169808152507	0	0.0352953811085407	-0.0367426553191363	0	0.157140980414534	0.00997734881138059	-0.0938163136125557	0	-0.343885774008623	0	0.12607246262573	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0460924375837687	0	0.170495865490186	0.000496980921571517	0	0.0400139965393792	0	-0.133133062404833	0	-0.0325157238291611	0	0	0	0.00341593005280903	0	0
8	0	0	-0.0040398085669706	0	0	0	0	0	0	0.0610315636137124	0.194263937489453	-0.0349757562607026	-0.00950149036853656	0	-0.0674000554510386	0.0153208157543165	0	-0.029535269429501	0	-0.0661719386711356	0	-0.217673092233837	0.0407242556640753	0.0404222418771046	0	0	0	-0.0105560275044304	0	0	0	0	0	0	0	0.00605618865706755	0	0.179357199256209	-0.0417364303532829	0	-0.205601565977589	0.00172818253692978	0.0783621431004565	0	0.111413535821322	0	-0.07811006238574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0654747868162866	0	-0.712852344401356	0.00590394742685367	0	-0.444195700205361	0	0.215167618755681	0	0.0283419067775089	0	0	0	0.0444216240951664	0	0
9	0.00776383349130969	0	-0.0161592342678824	0	0	0	0	0	0	-0.219713629009364	-0.114272904405561	0	-0.012092805923592	0	-0.0737188106495734	0	0	-0.0590705388590021	0	-0.0661719386711357	-0.010870136704558	-0.217673092233837	0.0407242556640753	0.0346476358946612	0	0	0	0.0248820648318718	0	0	0	0.0132258144507164	0	0	0	0.000865169808152507	0	0.121039977316631	-0.0183141467564127	0	0.151023995754983	0.00441184080208734	-0.0769896378233645	0	-0.202439483964129	0	-0.033006105376334	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0212182671049024	0	0.173373272894268	0.00583086565128	0	0.250700968318037	0	-0.0305561732775849	0	-0.018075122363519	0	0	0	0.0105514283853434	0	0
10	0	0	-0.0323184685357648	0	0.0357152625689386	0	0	0	0.0120621895465881	0.0915473454205686	-0.0971319687447267	0	0.0267769274022393	0	0.0210625173284496	0.0306416315086331	0	-0.0147676347147505	0	0.198515816013407	0	0.0303729896140237	0.0814485113281507	-0.259857269209959	0	0	0	-0.00452401178761303	0	0	0	0	0	0	0	0.00346067923261003	0	0.160871147301129	-0.0290373763949878	0	-0.0655409877591884	0.00730293526034166	0.0449659038194571	0	0.380562994334705	0	-0.0680760502672339	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140551710963868	0	-0.252650741782289	0.00238065448468072	0	-0.210518692022102	0	0.0449025962127987	0	0.011085046348812	0	0	0	0.00131576564997088	0	0
