obs_id	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
1	0	0	0	0	0	0	0	0	0	-8.16141500111315e-05	0.0342336584775183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00379560562720708	0	-0.00425046841559184	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	-3.3765554085366e-05	-0.0250242650101733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0208087053440698	0	2.77594938086998e-05	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	-4.2843572230287e-05	0.00766289511711908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0334602800233148	0	-0.00268138505844938	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	7.7866937681928e-05	0.0444968586027889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0139004694336769	0	0.000189303626109795	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	-2.76067414465888e-05	0.0416358586717868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0424948859371281	0	-0.00117471887470099	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	-2.9560417656264e-07	0.037600491532263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156349169860435	0	0.00749499021242189	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	6.49790278977602e-05	0.00679423728365285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00733861164492997	0	0.00072994791967806	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	-3.55545035591228e-05	-0.021663710685144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0314618351697084	0	-0.00319890340362058	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	-1.49566554455786e-05	0.020887569038065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00719514232857145	0	0.00164265626605671	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	-5.13461439885834e-05	0.096301467314484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0175185385970099	0	-0.00133862081039439	0	0	0	0	0	0	0	0	0	0	0
