obs_id	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
1	-0.226572842294365	-0.01791540196229	-0.00363479442958517	0.152739135945839	0.00863301072669465	0.040697189465807	0	0.484074397923112	0	-0.17033818051679	0	0	-0.00356231570784576	-0.0118039445122171	0	0.00552144090309536	0	0	0	0	0	0.0115264752512668	0	0	0	-0.139853415399407	0.0185648438451886	0	-0.40690611871507	0	0.156662727625278	0	0.0170068035373093	0	0	-0.0633053005616043	0.00373600169792113	0	-0.00246989404443251
2	-0.244847453624053	-0.00717468651219848	-0.00977673627337798	0.563458592302241	0.00293686280022419	0.0173015308506892	0	0.175427804351106	0	0.00441005994337776	0	0	-0.000850307589553919	0.0199755188057175	0	0.00662269820287471	0	0	0	0	0	-0.0117786421433826	0	0	0	-0.560314939268322	0.0104494854302005	0	-0.0415632628738777	0	-0.12542906649695	0	-0.0242137866379148	0	0	-0.0226997903910051	0.0281962392295935	0	0.00142541063188609
3	0.0501822339742213	0.0969268867095237	0.000796008896445294	-0.00888300808623999	0.0146110911170823	0.0194432000630243	0	0.151719317490071	0	-0.0859962558810617	0	0	-0.00105940333304849	0.00770922751112832	0	0.00308108612255834	0	0	0	0	0	-0.0409366703980122	0	0	0	-0.829916432584986	0.00559773784282086	0	-0.336898641962968	0	0.196334122627078	0	0.0406746727605938	0	0	0.00340144562200278	0.026116766586411	0	-0.00523241364261833
4	0.11406124965137	-0.00749434875106243	0.00475845214490459	-0.227811912772482	0.00605048501891275	-0.0166703458127274	0	-0.00917026872763633	0	0.193989727791748	0	0	0.000563272175970714	-0.0275499349997829	0	-0.00120893709286304	0	0	0	0	0	-0.0279406849569723	0	0	0	-0.2924074822841	0.00303675321129393	0	0.0434935053070301	0	0.116845030328321	0	0.0440167073701554	0	0	0.0356928082216847	0.0169177435377561	0	0.00203450758474539
5	0.0646993140857367	-0.0176703147519526	0.00247358784315825	-0.0979173189773603	-0.0124912395705916	0.063583331557413	0	0.198288506367757	0	-0.129478721470681	0	0	0.00434412323471453	-0.0354167188149096	0	-0.00254444948440194	0	0	0	0	0	-0.022152656485879	0	0	0	-1.02086803657212	0.0036841258883552	0	-0.058054829698661	0	-0.068333153546297	0	0.00226510465979799	0	0	-0.0440446528142783	0.0228741990750077	0	-0.000173501538186615
6	0.0636824814086046	-0.0221820372932627	0.00288428595851421	-0.0252237679692135	0.0143096332514813	-0.0957246033170315	0	-0.127773390082737	0	-0.0872218826793227	0	0	-0.00103866598359128	-0.0152904769115605	0	0.00406840398625753	0	0	0	0	0	0.011998833326718	0	0	0	0.341494278407826	0.00811158198211623	0	0.79323341998865	0	-0.489905345364461	0	-0.187960936870562	0	0	0.202832272975583	0.0206889905347142	0	0.0146333784691147
7	0.0456857374535788	-0.0165668527083629	0.000364495286502906	0.238541292813751	0.00360994216382439	-0.110527478025967	0	-0.349123060471455	0	0.133402457300724	0	0	-0.00104365105737079	-0.0130684923933503	0	0.0017018273504387	0	0	0	0	0	0.00770898969935056	0	0	0	0.187023979008179	0.00516401488358308	0	0.109092036405671	0	-0.167229794753568	0	-0.0830930221445102	0	0	0.0257723697250506	0.00715479570450934	0	-0.000168117494444911
8	0.101497092169392	-0.0267450305068375	0.00468484291064923	-0.304700666935864	0.00394256542622342	0.0562557856773614	0	-0.0102496823453387	0	0.00316229393570831	0	0	0.0115369954098406	0.0195319354835456	0	0.00241712827550479	0	0	0	0	0	0.00501803307847736	0	0	0	-0.613845528496579	0.0117959143626271	0	-0.369289570430749	0	0.458136182740282	0	0.129239915351703	0	0	0.00817476360374668	0.0157991690472664	0	-0.00233361078200597
9	0.0831089536296297	-0.02388384173249	0.000732545675131831	0.134160146137474	0.00405772614271678	-0.0439560176595311	0	-0.170199293031251	0	-0.0644464594650514	0	0	-0.000170990326706311	-0.0116584997128698	0	0.0048805442936392	0	0	0	0	0	0.00637203176725205	0	0	0	0.0804293295563363	0.0115436339461742	0	0.241930046620435	0	-0.163000498492895	0	-0.0460956773381207	0	0	0.0145157120356155	0.0241077845413024	0	0.00627792457363633
10	0.0893509470012128	-0.0267290018070741	0.00282531821622853	-0.0874795859329545	0.00637297806937163	0.0527956096035807	0	0.552810876354364	0	-0.134689050311405	0	0	-0.00187406946976221	-0.0412013666996592	0	0.0110713955247194	0	0	0	0	0	0.00915501102629092	0	0	0	-0.355218508907184	0.0188440368101735	0	-0.372600851827289	0	0.14328447865728	0	0.0584257812061957	0	0	0.0758667559651526	0.105943558602599	0	3.76534913706395e-05
11	0.010495890161455	-0.0345295729331043	0.00220024229835914	-0.346516092481678	0.0140824773988578	0.0956186546313611	0	0.30061075187521	0	-0.152192178408372	0	0	-0.00145997280727647	0.0147845863352762	0	0.00523607673523347	0	0	0	0	0	0.00432549193888245	0	0	0	-0.380610960586046	0.00603892554610416	0	-0.563389300889702	0	0.287439069795221	0	0.0663964847828528	0	0	0.0253052321631887	-0.39239031984121	0	-0.00259822204617538
12	0.139848867739547	-0.01608494599058	0.00509842110279305	-0.348057849082796	0.015264306779912	0.0505747760513265	0	-0.400042520622632	0	-0.0482767298987021	0	0	-0.00228087580566691	0.0103005583795191	0	-0.00186805768335535	0	0	0	0	0	0.012435166744243	0	0	0	-0.0196255433575185	0.0224797139572371	0	-0.192102204794592	0	0.536616075622757	0	0.138589305151935	0	0	-0.014288747331892	-0.159876486734394	0	-0.0065535720789376
13	0.108369216094218	-0.0251880209970293	0.00406512641329224	-0.133037908430643	0.00490068370337593	0.0642379874190952	0	-0.338813017914203	0	0.0928041563265542	0	0	-0.00168631367734671	0.00742414300313246	0	6.366442775943e-05	0	0	0	0	0	-0.0207713588137405	0	0	0	-0.167864451887687	0.00779696561849906	0	-0.0897987558824885	0	0.231207086013775	0	0.0375138756350405	0	0	0.0359680942393382	-0.0393081207805287	0	0.000263082118518138
14	0.0368903612640477	-0.0252833712258463	0.00232166342579624	-0.209396241256396	0.0361887908514199	-0.0310064216053964	0	0.169902245877947	0	-0.169914043154241	0	0	-0.00213293852458574	0.0115709473044805	0	0.010009434682199	0	0	0	0	0	0.00272428167783369	0	0	0	-0.14691711196854	0.0215997239823909	0	0.130810579021335	0	-0.00966188039049391	0	-0.0286950039506104	0	0	-0.00501679468589498	0.0378886964647663	0	0.00302657199589414
15	0.0220269736695884	-0.0133895178740992	0.001342326399416	-0.301197458837935	-0.180296407648294	0.00471166723596653	0	0.0369201371027326	0	-0.133065002408576	0	0	-0.00133922776548567	0.0167431408167469	0	0.000219086450505473	0	0	0	0	0	0.00786083601742338	0	0	0	0.164001126828144	-0.0933079014445967	0	-0.240783242704443	0	0.153392007418692	0	0.0715899627464439	0	0	0.0291859470695493	0.014653696828564	0	-0.000485516485422178
16	0.17078872605467	-0.0194058191891322	0.00402450857720676	-0.182887323953117	0.00425054301908937	-0.0422086401787016	0	-0.194407854778663	0	0.0537086928805459	0	0	-0.000648619928962267	-0.0229164593148105	0	0.00719637465223794	0	0	0	0	0	0.00368647155985143	0	0	0	-0.0339109464690464	0.00318009085214136	0	0.170016195332837	0	-0.17733215195046	0	-0.0477126811595355	0	0	0.0306126367201791	0.00704905980739838	0	0.00269235040551614
17	0.0946229452505185	-0.0246913986680515	0.00293106910349809	-0.252484488940138	0.00629330527287898	0.269717952820162	0	0.17223901185219	0	-0.0593175384424792	0	0	0.00944959734303272	-0.0146719690976748	0	-0.0554755077438506	0	0	0	0	0	-0.0169455897921904	0	0	0	-0.736198684342646	0.00834404329214688	0	-0.510870792395633	0	0.131745179760593	0	0.0121693314597907	0	0	0.0123156616870159	0.017246657703412	0	-0.00171622687181204
18	0.0770690155585452	-0.0320881022201206	0.00303212326706282	-0.1592744535329	0.00337962468999862	0.0080151589359589	0	0.449535843676285	0	-0.15136033518868	0	0	-0.00103112117548189	-0.0246130535579506	0	0.0107719917218173	0	0	0	0	0	0.0129610900528501	0	0	0	0.0767207428651284	0.00826762832343322	0	-0.193010104684175	0	0.204977036158725	0	0.0198595568375216	0	0	-0.121341804306085	0.0499885379766229	0	-0.00629886145175622
19	0.0371544368405583	-0.0287428563455808	0.00106906357460926	-0.129833672310058	0.0146436407533825	-0.0148360968866871	0	-0.210686785350404	0	0.0536491884462183	0	0	-0.000249394488914182	0.0537185532834899	0	0.00628788415348213	0	0	0	0	0	-0.0372680702426353	0	0	0	-0.476431646183898	0.00551810871370551	0	-0.16358875072348	0	-0.00270733919739375	0	0.00414796381359027	0	0	-0.0732777830059627	0.0239315580461175	0	-0.00563917705621074
20	-0.0669325126986918	-0.045000242274901	-0.00243115185630581	0.119050353923512	0.00614669094184435	-0.00427919371854737	0	0.339897141461239	0	-0.116792963991209	0	0	-0.000996061456252427	-0.0236739819359991	0	0.0146189833029032	0	0	0	0	0	-0.00704863650674087	0	0	0	-0.012291852404188	0.00368491311613102	0	-0.0232873317427819	0	0.267502278054597	0	0.016316551726565	0	0	-0.0416885304534068	0.0370780545869154	0	0.000597294136632639
21	-0.013293167029854	-0.0249338658611612	-0.000601918525131131	-0.00632738808471664	0.00984298115135053	0.0178843313957201	0	-0.378320822069457	0	0.412661293382155	0	0	-0.000894271794070941	0.00341339537797876	0	0.0110369506105447	0	0	0	0	0	0.00641489581848503	0	0	0	0.0557802579646847	0.00184258809466459	0	-0.0987268214082854	0	0.0561790832888196	0	0.0164872275218516	0	0	-0.00138705346149074	0.013146496540798	0	0.00209430109315044
22	-0.0808695038598069	-0.0448131377080248	-0.00461821710011653	0.374446160934475	0.00514874298747766	0.0440783281809904	0	0.509172625511416	0	-0.14609560811013	0	0	-0.00107288186577249	-0.00461624243459127	0	0.00787810543667032	0	0	0	0	0	0.0070800690987569	0	0	0	0.273489774358109	0.00615025959577184	0	-0.469724379505075	0	0.425780910059487	0	0.12641219685444	0	0	-0.0491475448827307	-0.290883599458063	0	-0.00848004076058332
23	0.118057447608444	-0.0482576792871417	0.00617086290289973	-0.241591673583366	0.0124408133533061	0.0626479577093141	0	0.285279114404828	0	-0.144902823990744	0	0	-0.00227938980011126	-0.0269376043797188	0	0.00845844284724306	0	0	0	0	0	-0.00358944774676084	0	0	0	-0.341597914003864	0.00579999904639364	0	-0.146648226307607	0	0.0728088761528924	0	-0.00573681697810953	0	0	-0.0102067517046029	0.0724995801190922	0	0.000529846356062231
24	-0.13378104608701	-0.0335212212560574	-0.00518602896976267	0.20377144560068	0.00495414089047508	0.0887511243076188	0	-0.399308949685602	0	0.307468201456708	0	0	-0.000896580629290519	0.00107726838016058	0	0.00793589202096358	0	0	0	0	0	-0.0125817623247865	0	0	0	-0.287469177154242	0.0113757516016026	0	-0.176013787916915	0	0.175065577280627	0	0.0641862354412604	0	0	-0.136235817715201	0.0153150099394424	0	-0.00556799653880321
25	0.144719555621612	-0.0165917413522768	0.00437536776825958	-0.191482817467554	0.00772874197476066	-0.0898187259359841	0	-0.177525787577102	0	-0.0370573923171328	0	0	-0.00125404031320783	-0.0212404613081331	0	0.00656202478307364	0	0	0	0	0	0.00727972491265774	0	0	0	0.325259819757349	0.0163265262924983	0	0.658452755957242	0	-0.4040588398128	0	-0.165460864702705	0	0	0.121569833532682	0.0218873307019719	0	0.012227681170446
26	0.127219678124404	-0.0328795821563353	0.00452674698152153	-0.307227797133998	0.00542512595490517	0.214233178285076	0	0.474132490900058	0	-0.177825315281981	0	0	-0.00180900948646944	-0.0273105015833465	0	0.00295754445903146	0	0	0	0	0	0.0103820477143454	0	0	0	0.0367666609517644	0.00357663407185637	0	0.275233922155108	0	-0.109273518854159	0	-0.0548742350078547	0	0	0.0506556953644344	0.0223102742904158	0	0.00142986565759477
27	0.0726975807018508	-0.0237739200477003	0.00199845721294392	-0.318696478561681	-0.171443023388805	0.00801583668355357	0	-0.561439011086186	0	-0.147095831873845	0	0	-0.000820860008831738	0.0639917209827052	0	0.0082826532731469	0	0	0	0	0	0.0112525327148442	0	0	0	0.0547381295290519	-0.112463401094589	0	0.165595043379866	0	0.138721482522743	0	0.0495997367026306	0	0	-0.0223491407644215	0.0208108385685278	0	3.62939922857649e-05
28	-0.0679364440128544	0.195991443117388	-0.000142035660130916	-0.0342936711902416	-0.165825358075389	-0.00554331630487364	0	-0.665048840079269	0	0.195254419297888	0	0	-0.000103771446500603	0.0428741347985427	0	-0.00596339383641037	0	0	0	0	0	0.0135983314366603	0	0	0	0.21553778606384	-0.180595927506515	0	-0.3280031075361	0	0.0751653731526023	0	-0.0103823572142304	0	0	-0.0849040463713236	0.00243192563355243	0	-0.00714294181803749
29	-0.166246713870812	-0.0440779194908772	-0.0020417665857766	0.123531863320052	0.0146533993356144	0.0621894486457913	0	0.494120530033642	0	-0.127540014137504	0	0	-0.00113668863350547	-0.0280053476674586	0	0.00818740752033031	0	0	0	0	0	-0.0004984292580729	0	0	0	0.341760301799534	0.0120185323819199	0	-0.421912774279873	0	0.414105013642934	0	0.151111870085403	0	0	-0.0506974020425409	-0.0366198656994346	0	-0.00346941639249722
30	0.00840868822832936	-0.0440278419653655	-0.00174864075297758	0.190744966711771	0.00226626687792473	0.0472222330005371	0	-0.543680867665178	0	0.466051261310879	0	0	-0.000298422006419052	0.0302466167414556	0	0.00417171232632693	0	0	0	0	0	0.00334780471621042	0	0	0	-0.0404226443838565	0.00744207792465169	0	-0.366694552576975	0	0.400872644446838	0	0.172484161444483	0	0	-0.0696526408227684	0.0222397836923419	0	-0.00873935081436693
31	0.0556539765989434	-0.0368492215609589	0.00166205516373861	-0.0360619285818901	0.0169641182551045	0.0634294911535764	0	-0.144876730706963	0	0.0372128143647412	0	0	-0.000142743250544077	-0.025355934635727	0	0.00213029881227852	0	0	0	0	0	-0.00593107100831812	0	0	0	0.121288050617834	-0.202804015907564	0	-0.192252421724982	0	0.00406947976833568	0	-0.0241940863305407	0	0	0.0197654305306556	0.0322018198363651	0	-0.000831578021909538
32	0.043129138375717	0.132046522836337	0.00184846099130407	-0.110967188607241	0.0141150297792359	0.0197978901022123	0	0.0501636783568998	0	0.0225388141981808	0	0	-0.00130459271532599	0.0206521896800094	0	0.0205256493345675	0	0	0	0	0	-0.0495777705364119	0	0	0	-0.751969744303447	0.00825884696084023	0	-0.369175995492349	0	0.0983598705162803	0	0.0885704461573801	0	0	-0.143268803047659	0.0688693143182821	0	-0.0058951076807817
33	0.146117828567363	-0.0300875499084805	0.00469454684342431	-0.145190705209181	0.00567097285080626	-0.119291512617867	0	0.478294674045635	0	-0.149148618940615	0	0	-0.00168835342240914	-0.0488851709215328	0	0.0108218926666838	0	0	0	0	0	0.00937214769381502	0	0	0	0.478178719777544	0.00412668463348163	0	0.788749266366204	0	-0.376580612324756	0	-0.129876681459612	0	0	0.136974287485762	0.0513876459959341	0	0.0142245216682351
