type	model	AUC	accuracy	sensitivity	specificity
train	fitbit_nw_nonen	0.642879814259836	0.765168539325843	0.0238663484486874	0.99338721528288
test	fitbit_nw_nonen	0.626796264532114	0.758846657929227	0.0222222222222222	0.986277873070326
train	fitbit_nw_en	0.600401747276238	0.764606741573034	0	1
test	fitbit_nw_en	0.622927387078331	0.764089121887287	0	1
train	fitbit_w_nonen	0.622841550944395	0.24438202247191	0.997613365155131	0.0124908155767818
test	fitbit_w_nonen	0.630179149990471	0.242463958060288	1	0.00857632933104631
train	fitbit_w_en	0.599972117932378	0.235393258426966	1	0
test	fitbit_w_en	0.622231751477034	0.235910878112713	1	0
train	comb_nw_nonen	0.705979276909915	0.775464265616207	0.119617224880383	0.977189109639441
test	comb_nw_nonen	0.633857442348008	0.766710353866317	0.1	0.972555746140652
train	comb_nw_en	0.658279377955223	0.764772087788407	0	1
test	comb_nw_en	0.631165427863541	0.764089121887287	0	1
train	comb_w_nonen	0.683557428590541	0.293190770962296	0.995215311004785	0.0772626931567329
test	comb_w_nonen	0.635296359824662	0.285714285714286	0.988888888888889	0.0686106346483705
train	comb_w_en	0.628188472385057	0.235227912211593	1	0
test	comb_w_en	0.620883361921098	0.235910878112713	1	0
